,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win,away_win,home_loss,away_loss,draw
0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,Not Neutral Ground,0,0,0,0,1
1,1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,Not Neutral Ground,1,0,0,1,0
2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
3,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,Not Neutral Ground,0,0,0,0,1
4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
5,1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
6,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,Not Neutral Ground,0,1,1,0,0
7,1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,Not Neutral Ground,0,1,1,0,0
8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
9,1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
10,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,Not Neutral Ground,1,0,0,1,0
11,1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,Not Neutral Ground,1,0,0,1,0
12,1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,Not Neutral Ground,0,1,1,0,0
13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,Not Neutral Ground,0,1,1,0,0
15,1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
16,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,Not Neutral Ground,0,1,1,0,0
17,1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,Not Neutral Ground,0,1,1,0,0
18,1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wrexham,Wales,Not Neutral Ground,0,1,1,0,0
19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Ireland,Not Neutral Ground,0,1,1,0,0
20,1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wrexham,Wales,Not Neutral Ground,1,0,0,1,0
21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,Not Neutral Ground,1,0,0,1,0
